序号,类型,子分类,独立项目,金额,日期,项目编码,项目名称,不入账,人员名称,已报销,备注
1,支出,差旅交通,,320,2026/1/10,P001,L60 长测真实体验,,,,拍摄当天停车与充电费用
2,支出,人员支出,,800,2026/1/18,P001,L60 长测真实体验,,摄影助理小周,,协助外拍半天
3,收入,平台激励,,1600,2026/1/29,P001,L60 长测真实体验,,,,平台激励收入
4,支出,道具采购,,268,2026/1/24,P002,新家一年后装修复盘,,,,补拍场景道具
5,支出,外包剪辑,,1200,2026/2/3,P002,新家一年后装修复盘,,剪辑师阿然,,粗剪外包
6,收入,平台激励,,900,2026/2/11,P002,新家一年后装修复盘,,,,图文流量激励
7,收入,商单收入,,1200,2026/2/12,P003,母婴用品红黑榜,,,,品牌首款到账
8,支出,福利成本,,680,2026/2/20,P003,母婴用品红黑榜,,,,评论区抽奖奖品
9,支出,人员支出,,1500,2026/3/2,P003,母婴用品红黑榜,,拍摄助理小李,,补拍协助
10,收入,商单收入,,1800,2026/3/1,P004,人体工学椅真实办公体验,,,,定制视频尾款
11,支出,场地费用,,900,2026/3/12,P004,人体工学椅真实办公体验,,,,办公样板间租赁
12,支出,人员支出,,2000,2026/3/22,P004,人体工学椅真实办公体验,,灯光师阿豪,,布光协助
13,收入,商单收入,,8500,2026/3/18,P005,春季桌面效率工具合集,,,,合集合作收入
14,支出,样品寄送,,180,2026/3/29,P005,春季桌面效率工具合集,,,,品牌方承担，标记不入账
15,支出,平台服务费,,420,2026/4/8,P005,春季桌面效率工具合集,,,,平台服务费
16,支出,设计素材,,299,2026/4/6,P006,Takii 首次亮相介绍,,,,官网与公众号视觉素材
17,支出,人员支出,,1200,2026/4/15,P006,Takii 首次亮相介绍,,设计师朋友,,图文视觉协助
18,收入,其他收入,,500,2026/4/26,P006,Takii 首次亮相介绍,,,,早期赞助收入
19,收入,置换收入,,6000,2026/4/24,P007,智能猫砂盆横评,,,,按约定折算置换价值
20,支出,福利成本,,360,2026/5/2,P007,智能猫砂盆横评,,,,粉丝福利猫砂
21,支出,清洁耗材,,128,2026/5/13,P007,智能猫砂盆横评,,,,测试耗材
22,收入,商单收入,,1500,2026/5/12,P008,外滩夜景车拍短片,,,,定制短片首款
23,支出,人员支出,,2200,2026/5/21,P008,外滩夜景车拍短片,,摄影师阿杰,,夜景跟拍协助
24,支出,交通停车,,460,2026/5/31,P008,外滩夜景车拍短片,,,,停车与高速费
25,收入,商单收入,,9800,2026/6/1,P009,夏季露营装备清单,,,,植入合作收入
26,支出,道具采购,,780,2026/6/10,P009,夏季露营装备清单,,,,露营小道具
27,支出,差旅交通,,620,2026/6/19,P009,夏季露营装备清单,,,,外拍交通
28,收入,商单收入,,12000,2026/6/22,P010,618 影像设备采购指南,,,,品牌合作全款
29,支出,平台服务费,,1100,2026/6/26,P010,618 影像设备采购指南,,,是,平台结算服务费
30,支出,人员支出,,2600,2026/6/30,P010,618 影像设备采购指南,,剪辑师阿然,是,精剪与字幕
31,支出,成本,粉丝福利,1000,2026/6/26,,,,,,高考季福利抽奖
32,支出,成本,纳税义务,2000,2026/6/30,,,,,,纳税人义务（此金额为模拟金额）
